SQL> select e.employee_id,e.first_name,e.salary, j.job_id,j.min_salary,j.max_salary from employees e,jobs j where e.salary > j.min_salary;

EMPLOYEE_ID FIRST_NAME               SALARY JOB_ID     MIN_SALARY MAX_SALARY                                                                                                                            
----------- -------------------- ---------- ---------- ---------- ----------                                                                                                                            
        132 TJ                         2100 ST_CLERK         2008       5000                                                                                                                            
        136 Hazel                      2200 ST_CLERK         2008       5000                                                                                                                            
        128 Steven                     2200 ST_CLERK         2008       5000                                                                                                                            
        127 James                      2400 ST_CLERK         2008       5000                                                                                                                            
        135 Ki                         2400 ST_CLERK         2008       5000                                                                                                                            
        191 Randall                    2500 ST_CLERK         2008       5000                                                                                                                            
        119 Karen                      2500 ST_CLERK         2008       5000                                                                                                                            
        140 Joshua                     2500 ST_CLERK         2008       5000                                                                                                                            
        144 Peter                      2500 ST_CLERK         2008       5000                                                                                                                            
        182 Martha                     2500 ST_CLERK         2008       5000                                                                                                                            
        131 James                      2500 ST_CLERK         2008       5000                                                                                                                            
        198 Donald                     2600 ST_CLERK         2008       5000                                                                                                                            
        199 Douglas                    2600 ST_CLERK         2008       5000                                                                                                                            
        118 Guy                        2600 ST_CLERK         2008       5000                                                                                                                            
        143 Randall                    2600 ST_CLERK         2008       5000                                                                                                                            
        126 Irene                      2700 ST_CLERK         2008       5000                                                                                                                            
        139 John                       2700 ST_CLERK         2008       5000                                                                                                                            
        117 Sigal                      2800 ST_CLERK         2008       5000                                                                                                                            
        183 Girard                     2800 ST_CLERK         2008       5000                                                                                                                            
        130 Mozhe                      2800 ST_CLERK         2008       5000                                                                                                                            
        195 Vance                      2800 ST_CLERK         2008       5000                                                                                                                            
        116 Shelli                     2900 ST_CLERK         2008       5000                                                                                                                            
        134 Michael                    2900 ST_CLERK         2008       5000                                                                                                                            
        190 Timothy                    2900 ST_CLERK         2008       5000                                                                                                                            
        197 Kevin                      3000 ST_CLERK         2008       5000                                                                                                                            
        187 Anthony                    3000 ST_CLERK         2008       5000                                                                                                                            
        181 Jean                       3100 ST_CLERK         2008       5000                                                                                                                            
        196 Alana                      3100 ST_CLERK         2008       5000                                                                                                                            
        115 Alexander                  3100 ST_CLERK         2008       5000                                                                                                                            
        142 Curtis                     3100 ST_CLERK         2008       5000                                                                                                                            
        194 Samuel                     3200 ST_CLERK         2008       5000                                                                                                                            
        125 Julia                      3200 ST_CLERK         2008       5000                                                                                                                            
        138 Stephen                    3200 ST_CLERK         2008       5000                                                                                                                            
        180 Winston                    3200 ST_CLERK         2008       5000                                                                                                                            
        133 Jason                      3300 ST_CLERK         2008       5000                                                                                                                            
        129 Laura                      3300 ST_CLERK         2008       5000                                                                                                                            
        186 Julia                      3400 ST_CLERK         2008       5000                                                                                                                            
        141 Trenna                     3500 ST_CLERK         2008       5000                                                                                                                            
        189 Jennifer                   3600 ST_CLERK         2008       5000                                                                                                                            
        137 Renske                     3600 ST_CLERK         2008       5000                                                                                                                            
        188 Kelly                      3800 ST_CLERK         2008       5000                                                                                                                            
        193 Britney                    3900 ST_CLERK         2008       5000                                                                                                                            
        192 Sarah                      4000 ST_CLERK         2008       5000                                                                                                                            
        185 Alexis                     4100 ST_CLERK         2008       5000                                                                                                                            
        107 Diana                      4200 ST_CLERK         2008       5000                                                                                                                            
        184 Nandita                    4200 ST_CLERK         2008       5000                                                                                                                            
        200 Jennifer                   4400 ST_CLERK         2008       5000                                                                                                                            
        105 David                      4800 ST_CLERK         2008       5000                                                                                                                            
        106 Valli                      4800 ST_CLERK         2008       5000                                                                                                                            
        124 Kevin                      5800 ST_CLERK         2008       5000                                                                                                                            
        202 Pat                        6000 ST_CLERK         2008       5000                                                                                                                            
        104 Bruce                      6000 ST_CLERK         2008       5000                                                                                                                            
        173 Sundita                    6100 ST_CLERK         2008       5000                                                                                                                            
        167 Amit                       6200 ST_CLERK         2008       5000                                                                                                                            
        179 Charles                    6200 ST_CLERK         2008       5000                                                                                                                            
        166 Sundar                     6400 ST_CLERK         2008       5000                                                                                                                            
        123 Shanta                     6500 ST_CLERK         2008       5000                                                                                                                            
        203 Susan                      6500 ST_CLERK         2008       5000                                                                                                                            
        165 David                      6800 ST_CLERK         2008       5000                                                                                                                            
        113 Luis                       6900 ST_CLERK         2008       5000                                                                                                                            
        155 Oliver                     7000 ST_CLERK         2008       5000                                                                                                                            
        178 Kimberely                  7000 ST_CLERK         2008       5000                                                                                                                            
        161 Sarath                     7000 ST_CLERK         2008       5000                                                                                                                            
        164 Mattea                     7200 ST_CLERK         2008       5000                                                                                                                            
        172 Elizabeth                  7300 ST_CLERK         2008       5000                                                                                                                            
        171 William                    7400 ST_CLERK         2008       5000                                                                                                                            
